,username,text,query,hashtags,is_road_closed
0,EPCF #GreenNewDeal #SunriseMovement,"our hearts go out to californians affected by #wildfires. #climatechange is real.  scientists say the #climatecrisis is fueling wildfires nationwide. #minesfire @nytimes
#tickfire #kincadefire #saddleridgefire #rawsonfire #skyfire #sawdayfire #millerfire #palisadesfirepic.twitter.com/q4nqaqpaec",saddleridgefire,"['wildfires', 'ClimateChange', 'ClimateCrisis', 'MinesFire', 'TickFire', 'KincadeFire', 'SaddleRidgeFire', 'RawsonFire', 'SkyFire', 'SawdayFire', 'MillerFire', 'PalisadesFirepic']",0
1,Jason Singson,"from the #saddleridgefire to the #kincadefire, as well as many emerging small/large fires today, we have quickly seen how california can be brought to a halt. public health/ep/ems departments are going to be in overdrive. we must be realistic about our future.https: twitter.com/cagovernor/status/1188523109051027456 …",saddleridgefire,"['SaddleridgeFire', 'KincadeFire']",0
2,Brandy Grote,"our #saddleridgefire leaped a 12 lane major freeway. with the wind at its back, a wildfire w/fuel can send embers miles. please be safe, & expect any & everything, even that w/low probability!",saddleridgefire,['SaddleridgeFire'],0
3,Mark In SoCal,"good morning, sam!
all is well here. however, the #saddleridgefire has been particularly stubborn with a flare-up in the newhall pass a couple days ago, nearly 2 weeks after it started! thanks for checking inhave a great day! https: twitter.com/sam17970863/status/1188513237454614528 …",saddleridgefire,['SaddleridgeFire'],0
4,LVTIA,"was your property or home damaged by the #saddleridgefire ? please see the following for more info:

https: www.211la.org/fire-saddleridge …

for more 411, peep

@211lacounty",saddleridgefire,['SaddleRidgeFire'],0
5,Eichler Network,residents of balboa highlands in granada hills had a close call from the #saddleridgefire. many thank the fire department for saving their eichlers.  http: bit.ly/2mdyujz ,saddleridgefire,['SaddleridgeFire'],0
6,DaytonCharityChicken🐔🧢,i’m also listening to northern california major incident but via the scanner radio: police & fire app (also used this during dayton tornado and saddleridgefire). a number of good tools available.  #kincadefire #kincadefire #kincadefire #kincadefire #kincadefire https: twitter.com/mattvillano/status/1188439002430332935 …pic.twitter.com/4wp3twykno,saddleridgefire,"['KincadeFire', 'KincadeFire', 'KincadeFire', 'KincadeFire', 'KincadeFire']",0
7,Cristian Guezz 🦊,alguien más se arrepiente de no haber salido #sabadoencasa #sabadodeluxe #saturdaynight #sabadosad #saddleridgefire #sadboy,saddleridgefire,"['sabadoencasa', 'SABADODELUXE', 'saturdaynight', 'Sabadosad', 'SaddleridgeFire', 'sadboy']",0
8,JakeJeong,"tests show small levels of gas leaking from #porterranch facility after the #saddleridgefire. so far these gases aren’t reaching the community, but if you feel affected please report it immediately. be safe.

https: ktla.com/2019/10/24/gas-is-emitting-from-aliso-canyon-after-it-burned-in-saddleridge-fire-but-methane-isnt-impacting-communities-officials/ …",saddleridgefire,"['porterranch', 'SaddleRidgeFire']",0
9,EPCF #GreenNewDeal #SunriseMovement,"our hearts go out to californians affected by #wildfires. #climatechange is real.  scientists say the #climatecrisis is fueling wildfires nationwide. #minesfire @nytimes
#tickfire #kincadefire #saddleridgefire #rawsonfire #skyfire #sawdayfire #millerfire #palisadesfirepic.twitter.com/q4nqaqpaec",saddleridgefire,"['wildfires', 'ClimateChange', 'ClimateCrisis', 'MinesFire', 'TickFire', 'KincadeFire', 'SaddleRidgeFire', 'RawsonFire', 'SkyFire', 'SawdayFire', 'MillerFire', 'PalisadesFirepic']",0
10,Jason Singson,"from the #saddleridgefire to the #kincadefire, as well as many emerging small/large fires today, we have quickly seen how california can be brought to a halt. public health/ep/ems departments are going to be in overdrive. we must be realistic about our future.https: twitter.com/cagovernor/status/1188523109051027456 …",saddleridgefire,"['SaddleridgeFire', 'KincadeFire']",0
11,Brandy Grote,"our #saddleridgefire leaped a 12 lane major freeway. with the wind at its back, a wildfire w/fuel can send embers miles. please be safe, & expect any & everything, even that w/low probability!",saddleridgefire,['SaddleridgeFire'],0
12,Mark In SoCal,"good morning, sam!
all is well here. however, the #saddleridgefire has been particularly stubborn with a flare-up in the newhall pass a couple days ago, nearly 2 weeks after it started! thanks for checking inhave a great day! https: twitter.com/sam17970863/status/1188513237454614528 …",saddleridgefire,['SaddleridgeFire'],0
13,LVTIA,"was your property or home damaged by the #saddleridgefire ? please see the following for more info:

https: www.211la.org/fire-saddleridge …

for more 411, peep

@211lacounty",saddleridgefire,['SaddleRidgeFire'],0
14,Eichler Network,residents of balboa highlands in granada hills had a close call from the #saddleridgefire. many thank the fire department for saving their eichlers.  http: bit.ly/2mdyujz ,saddleridgefire,['SaddleridgeFire'],0
