screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,query
EPCFIRM,EPCF #GreenNewDeal #SunriseMovement,836834627771850752,1188564512669962240,/EPCFIRM/status/1188564512669962240,2019-10-27 21:13:56,1572210836,"Our hearts go out to Californians affected by #wildfires. #ClimateChange is real.  Scientists say the #ClimateCrisis is fueling wildfires nationwide. #MinesFire @nytimes
#TickFire #KincadeFire #SaddleRidgeFire #RawsonFire #SkyFire #SawdayFire #MillerFire #PalisadesFirepic.twitter.com/Q4NQAQpaEc","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Our hearts go out to Californians affected by <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wildfires?src=hash""><s>#</s><b>wildfires</b></a>. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ClimateChange?src=hash""><s>#</s><b>ClimateChange</b></a> is real.  Scientists say the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ClimateCrisis?src=hash""><s>#</s><b>ClimateCrisis</b></a> is fueling wildfires nationwide. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MinesFire?src=hash""><s>#</s><b>MinesFire</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""807095"" dir=""ltr"" href=""/nytimes""><s>@</s><b>nytimes</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TickFire?src=hash""><s>#</s><b>TickFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KincadeFire?src=hash""><s>#</s><b>KincadeFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaddleRidgeFire?src=hash""><s>#</s><b><strong>SaddleRidgeFire</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RawsonFire?src=hash""><s>#</s><b>RawsonFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SkyFire?src=hash""><s>#</s><b>SkyFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SawdayFire?src=hash""><s>#</s><b>SawdayFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MillerFire?src=hash""><s>#</s><b>MillerFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PalisadesFire?src=hash""><s>#</s><b>PalisadesFire</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Q4NQAQpaEc"">pic.twitter.com/Q4NQAQpaEc</a></p>",[],"['wildfires', 'ClimateChange', 'ClimateCrisis', 'MinesFire', 'TickFire', 'KincadeFire', 'SaddleRidgeFire', 'RawsonFire', 'SkyFire', 'SawdayFire', 'MillerFire', 'PalisadesFirepic']",True,['https://pbs.twimg.com/media/EH6hH4FVAAA6ZA_.jpg'],,8,1,1,True,False,,[],saddleridgefire
jsingpubhealth,Jason Singson,3320904614,1188545671076298752,/jsingpubhealth/status/1188545671076298752,2019-10-27 19:59:04,1572206344,"From the #SaddleridgeFire to the #KincadeFire, as well as many emerging small/large fires today, we have quickly seen how California can be brought to a halt. Public health/EP/EMS departments are going to be in overdrive. We must be realistic about our future.https://twitter.com/CAgovernor/status/1188523109051027456 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">From the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaddleridgeFire?src=hash""><s>#</s><b><strong>SaddleridgeFire</strong></b></a> to the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KincadeFire?src=hash""><s>#</s><b>KincadeFire</b></a>, as well as many emerging small/large fires today, we have quickly seen how California can be brought to a halt. Public health/EP/EMS departments are going to be in overdrive. We must be realistic about our future.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/CAgovernor/status/1188523109051027456"" dir=""ltr"" href=""https://t.co/GTvP87xSfM"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/CAgovernor/status/1188523109051027456""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/CAgovernor/sta</span><span class=""invisible"">tus/1188523109051027456</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/CAgovernor/status/1188523109051027456'],"['SaddleridgeFire', 'KincadeFire']",False,[],,1,0,0,False,False,,[],saddleridgefire
BrandyCGrote,Brandy Grote,898902973,1188517925503635456,/BrandyCGrote/status/1188517925503635456,2019-10-27 18:08:49,1572199729,"Our #SaddleridgeFire leaped a 12 lane major freeway. With the wind at its back, a wildfire w/fuel can send embers miles. Please be safe, & expect any & everything, even that w/low probability!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Our <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaddleridgeFire?src=hash""><s>#</s><b><strong>SaddleridgeFire</strong></b></a> leaped a 12 lane major freeway. With the wind at its back, a wildfire w/fuel can send embers miles. Please be safe, &amp; expect any &amp; everything, even that w/low probability!</p>",[],['SaddleridgeFire'],False,[],,1,1,0,False,True,1188495676969119744,"[{'screen_name': 'BillMendocino', 'user_id': '797128193941512192'}]",saddleridgefire
mlzema,Mark In SoCal,18340526,1188515108562931714,/mlzema/status/1188515108562931714,2019-10-27 17:57:38,1572199058,"Good Morning, Sam!
All is well here. However, the #SaddleridgeFire has been particularly stubborn with a flare-up in the Newhall Pass a couple days ago, nearly 2 weeks after it started! Thanks for checking inHave a great day! https://twitter.com/Sam17970863/status/1188513237454614528 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Good Morning, Sam!<img alt=""😊"" aria-label=""Emoji: Smiling face with smiling eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60a.png"" title=""Smiling face with smiling eyes""/><img alt=""❤️"" aria-label=""Emoji: Red heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" title=""Red heart""/>
All is well here. However, the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaddleridgeFire?src=hash""><s>#</s><b><strong>SaddleridgeFire</strong></b></a> has been particularly stubborn with a flare-up in the Newhall Pass a couple days ago, nearly 2 weeks after it started! Thanks for checking in<img alt=""😘"" aria-label=""Emoji: Face throwing a kiss"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f618.png"" title=""Face throwing a kiss""/>Have a great day!<img alt=""😎"" aria-label=""Emoji: Smiling face with sunglasses"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60e.png"" title=""Smiling face with sunglasses""/> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/Sam17970863/status/1188513237454614528"" dir=""ltr"" href=""https://t.co/2K8u8dIE9o"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Sam17970863/status/1188513237454614528""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/Sam17970863/st</span><span class=""invisible"">atus/1188513237454614528</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/Sam17970863/status/1188513237454614528'],['SaddleridgeFire'],False,[],,1,0,0,False,False,,[],saddleridgefire
LVTIA,LVTIA,87142711,1188502337867829248,/LVTIA/status/1188502337867829248,2019-10-27 17:06:53,1572196013,"Was your property or home damaged by the #SaddleRidgeFire ? Please see the following for more info:

https://www.211la.org/fire-saddleridge …

For more 411, peep

@211LACounty","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Was your property or home damaged by the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaddleRidgeFire?src=hash""><s>#</s><b><strong>SaddleRidgeFire</strong></b></a> ? Please see the following for more info:

<a class=""twitter-timeline-link"" data-expanded-url=""https://www.211la.org/fire-saddleridge"" dir=""ltr"" href=""https://t.co/4ubLW5MCh9"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.211la.org/fire-saddleridge""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">211la.org/fire-saddlerid</span><span class=""invisible"">ge</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>

For more 411, peep

<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""37046857"" dir=""ltr"" href=""/211LACounty""><s>@</s><b>211LACounty</b></a></p>",['https://www.211la.org/fire-saddleridge'],['SaddleRidgeFire'],False,[],,0,0,0,False,False,,[],saddleridgefire
EichlerNetwork,Eichler Network,783470592,1188461120639655942,/EichlerNetwork/status/1188461120639655942,2019-10-27 14:23:06,1572186186,Residents of Balboa Highlands in Granada Hills had a close call from the #SaddleridgeFire. Many thank the fire department for saving their Eichlers.  http://bit.ly/2MDYUJZ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Residents of Balboa Highlands in Granada Hills had a close call from the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaddleridgeFire?src=hash""><s>#</s><b><strong>SaddleridgeFire</strong></b></a>. Many thank the fire department for saving their Eichlers.  <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://bit.ly/2MDYUJZ"" dir=""ltr"" href=""https://t.co/V4f0u8diyG"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2MDYUJZ""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2MDYUJZ</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://bit.ly/2MDYUJZ'],['SaddleridgeFire'],False,[],,2,0,0,False,False,,[],saddleridgefire
CharityChicken,DaytonCharityChicken🐔🧢,451585651,1188440277842837504,/CharityChicken/status/1188440277842837504,2019-10-27 13:00:17,1572181217,I’m also listening to Northern California Major Incident but via the Scanner Radio: Police & Fire app (also used this during Dayton tornado and SaddleRidgeFire). A number of good tools available.  #KincadeFire #KincadeFire #KincadeFire #KincadeFire #KincadeFire https://twitter.com/mattvillano/status/1188439002430332935 …pic.twitter.com/4WP3TwyknO,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I’m also listening to Northern California Major Incident but via the Scanner Radio: Police &amp; Fire app (also used this during Dayton tornado and <strong>SaddleRidgeFire</strong>). A number of good tools available. <img alt=""❤️"" aria-label=""Emoji: Red heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" title=""Red heart""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KincadeFire?src=hash""><s>#</s><b>KincadeFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KincadeFire?src=hash""><s>#</s><b>KincadeFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KincadeFire?src=hash""><s>#</s><b>KincadeFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KincadeFire?src=hash""><s>#</s><b>KincadeFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KincadeFire?src=hash""><s>#</s><b>KincadeFire</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/mattvillano/status/1188439002430332935"" dir=""ltr"" href=""https://t.co/uZyqKW389n"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/mattvillano/status/1188439002430332935""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/mattvillano/st</span><span class=""invisible"">atus/1188439002430332935</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/4WP3TwyknO"">pic.twitter.com/4WP3TwyknO</a></p>",['https://twitter.com/mattvillano/status/1188439002430332935'],"['KincadeFire', 'KincadeFire', 'KincadeFire', 'KincadeFire', 'KincadeFire']",True,"['https://pbs.twimg.com/media/EH4wH-9XUAARs20.jpg', 'https://pbs.twimg.com/media/EH4wH-9WwAAETeG.jpg']",,7,5,1,True,False,,[],saddleridgefire
Cristia07150296,Cristian Guezz 🦊,1187144914229964801,1188296971339075585,/Cristia07150296/status/1188296971339075585,2019-10-27 03:30:50,1572147050,Alguien más se arrepiente de no haber salido #sabadoencasa #SABADODELUXE #saturdaynight #Sabadosad #SaddleridgeFire #sadboy,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Alguien más se arrepiente de no haber salido <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/sabadoencasa?src=hash""><s>#</s><b>sabadoencasa</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SABADODELUXE?src=hash""><s>#</s><b>SABADODELUXE</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/saturdaynight?src=hash""><s>#</s><b>saturdaynight</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sabadosad?src=hash""><s>#</s><b>Sabadosad</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaddleridgeFire?src=hash""><s>#</s><b><strong>SaddleridgeFire</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/sadboy?src=hash""><s>#</s><b>sadboy</b></a></p>",[],"['sabadoencasa', 'SABADODELUXE', 'saturdaynight', 'Sabadosad', 'SaddleridgeFire', 'sadboy']",False,[],,1,0,0,False,False,,[],saddleridgefire
JakeJeong2020,JakeJeong,1178778506039156736,1188276014478061568,/JakeJeong2020/status/1188276014478061568,2019-10-27 02:07:33,1572142053,"Tests show small levels of gas leaking from #porterranch facility after the #SaddleRidgeFire. So far these gases aren’t reaching the community, but if you feel affected please report it immediately. Be safe.

https://ktla.com/2019/10/24/gas-is-emitting-from-aliso-canyon-after-it-burned-in-saddleridge-fire-but-methane-isnt-impacting-communities-officials/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tests show small levels of gas leaking from <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/porterranch?src=hash""><s>#</s><b>porterranch</b></a> facility after the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaddleRidgeFire?src=hash""><s>#</s><b><strong>SaddleRidgeFire</strong></b></a>. So far these gases aren’t reaching the community, but if you feel affected please report it immediately. Be safe.

<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://ktla.com/2019/10/24/gas-is-emitting-from-aliso-canyon-after-it-burned-in-saddleridge-fire-but-methane-isnt-impacting-communities-officials/"" dir=""ltr"" href=""https://t.co/OPuftTSqJp"" rel=""nofollow noopener"" target=""_blank"" title=""https://ktla.com/2019/10/24/gas-is-emitting-from-aliso-canyon-after-it-burned-in-saddleridge-fire-but-methane-isnt-impacting-communities-officials/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">ktla.com/2019/10/24/gas</span><span class=""invisible"">-is-emitting-from-aliso-canyon-after-it-burned-in-saddleridge-fire-but-methane-isnt-impacting-communities-officials/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://ktla.com/2019/10/24/gas-is-emitting-from-aliso-canyon-after-it-burned-in-saddleridge-fire-but-methane-isnt-impacting-communities-officials/'],"['porterranch', 'SaddleRidgeFire']",False,[],,0,0,0,False,False,,[],saddleridgefire
EPCFIRM,EPCF #GreenNewDeal #SunriseMovement,836834627771850752,1188564512669962240,/EPCFIRM/status/1188564512669962240,2019-10-27 21:13:56,1572210836,"Our hearts go out to Californians affected by #wildfires. #ClimateChange is real.  Scientists say the #ClimateCrisis is fueling wildfires nationwide. #MinesFire @nytimes
#TickFire #KincadeFire #SaddleRidgeFire #RawsonFire #SkyFire #SawdayFire #MillerFire #PalisadesFirepic.twitter.com/Q4NQAQpaEc","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Our hearts go out to Californians affected by <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wildfires?src=hash""><s>#</s><b>wildfires</b></a>. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ClimateChange?src=hash""><s>#</s><b>ClimateChange</b></a> is real.  Scientists say the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ClimateCrisis?src=hash""><s>#</s><b>ClimateCrisis</b></a> is fueling wildfires nationwide. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MinesFire?src=hash""><s>#</s><b>MinesFire</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""807095"" dir=""ltr"" href=""/nytimes""><s>@</s><b>nytimes</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TickFire?src=hash""><s>#</s><b>TickFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KincadeFire?src=hash""><s>#</s><b>KincadeFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaddleRidgeFire?src=hash""><s>#</s><b><strong>SaddleRidgeFire</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RawsonFire?src=hash""><s>#</s><b>RawsonFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SkyFire?src=hash""><s>#</s><b>SkyFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SawdayFire?src=hash""><s>#</s><b>SawdayFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MillerFire?src=hash""><s>#</s><b>MillerFire</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PalisadesFire?src=hash""><s>#</s><b>PalisadesFire</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Q4NQAQpaEc"">pic.twitter.com/Q4NQAQpaEc</a></p>",[],"['wildfires', 'ClimateChange', 'ClimateCrisis', 'MinesFire', 'TickFire', 'KincadeFire', 'SaddleRidgeFire', 'RawsonFire', 'SkyFire', 'SawdayFire', 'MillerFire', 'PalisadesFirepic']",True,['https://pbs.twimg.com/media/EH6hH4FVAAA6ZA_.jpg'],,8,1,1,True,False,,[],saddleridgefire
