,,,,,,
latitude ,longitude,,,,,
34.466334,-118.329592,,,,,
34.433634,-118.385721,,,,,
34.068143,-118.029060,,,,,
34.392395,-118.472590,,,,,
34.425140,-118.424065,,,,,
34.425133,-118.423782,,,,,
34.524031,-118.441495,,,,,
33.978667,-118.077686,,,,,
34.491502,-118.129588,,,,,
34.211555,-118.849081,,,,,
34.281759,-118.678621,,,,,
34.241837,-118.839978,,,,,
34.126372,-118.475814,,,,,
34.077355,-118.469918,,,,,
34.072829,-118.466655,,,,,
34.228198,-117.290162,,,,,
34.159976,-118.469754,,,,,
34.199940,-118.857081,,,,,
34.176102,-118.860907,,,,,
34.339479,-118.507081,,,,,
34.377547,-118.493468,,,,,
33.705245,-117.954399,,,,,
34.287597,-118.407226,,,,,
34.030561,-118.753772,,,,,
33.876397,-118.102393,,,,,
34.148515,-118.697822,,,,,
34.449479,-118.389545,,,,,
34.264330,-118.994932,,,,,
34.268822,-118.955882,,,,,
34.041956,-118.554017,,,,,
33.984292,-117.842893,,,,,
34.275370,-118.536680,,,,,
34.491486,-118.198315,,,,,
34.287749,-118.406975,,,,,
